1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i,0.44657-1.1675i,-1.0598-0.66286i,-0.85438+0.91243i,0.73099+1.014i,1.1357-0.52224i,-0.29397-1.2149i
0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i,0.44657-1.1675i,-1.0598-0.66286i,-0.85438+0.91243i,0.73099+1.014i,1.1357-0.52224i
-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i,0.44657-1.1675i,-1.0598-0.66286i,-0.85438+0.91243i,0.73099+1.014i
-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i,0.44657-1.1675i,-1.0598-0.66286i,-0.85438+0.91243i
0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i,0.44657-1.1675i,-1.0598-0.66286i
1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i,0.44657-1.1675i
-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i,1.2316+0.21359i
-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i,0.027366+1.2497i
0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i,-1.2211+0.2673i
1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i,-0.49725-1.1468i
0.44657+1.1675i,1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i,1.0297-0.70862i
-1.0598+0.66286i,0.44657+1.1675i,1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i,0.89351+0.87415i
-0.85438-0.91243i,-1.0598+0.66286i,0.44657+1.1675i,1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i,-0.68591+1.045i
0.73099-1.014i,-0.85438-0.91243i,-1.0598+0.66286i,0.44657+1.1675i,1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i,-1.1575-0.47203i
1.1357+0.52224i,0.73099-1.014i,-0.85438-0.91243i,-1.0598+0.66286i,0.44657+1.1675i,1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25,0.24051-1.2266i
-0.29397+1.2149i,1.1357+0.52224i,0.73099-1.014i,-0.85438-0.91243i,-1.0598+0.66286i,0.44657+1.1675i,1.2316-0.21359i,0.027366-1.2497i,-1.2211-0.2673i,-0.49725+1.1468i,1.0297+0.70862i,0.89351-0.87415i,-0.68591-1.045i,-1.1575+0.47203i,0.24051+1.2266i,1.25
